Font: Microsoft YaHei  Style: Regular
Point Size: 1   SP/PD Ratio: 500.0%

Characters included: 1640/7198
Missing characters: 0
Excluded characters: 5558

Characters missing from font file:
----------------------------------------

Characters excluded from packing:
----------------------------------------
ID: 19968	Hex: 4E00	Char [一]
ID: 20022	Hex: 4E36	Char [丶]
ID: 20059	Hex: 4E5B	Char [乛]
ID: 31482	Hex: 7AFA	Char [竺]
ID: 31177	Hex: 79C9	Char [秉]
ID: 36836	Hex: 8FE4	Char [迤]
ID: 20339	Hex: 4F73	Char [佳]
ID: 20365	Hex: 4F8D	Char [侍]
ID: 20342	Hex: 4F76	Char [佶]
ID: 23731	Hex: 5CB3	Char [岳]
ID: 20332	Hex: 4F6C	Char [佬]
ID: 20340	Hex: 4F74	Char [佴]
ID: 20379	Hex: 4F9B	Char [供]
ID: 20351	Hex: 4F7F	Char [使]
ID: 20369	Hex: 4F91	Char [侑]
ID: 20336	Hex: 4F70	Char [佰]
ID: 20361	Hex: 4F89	Char [侉]
ID: 20363	Hex: 4F8B	Char [例]
ID: 20384	Hex: 4FA0	Char [侠]
ID: 33278	Hex: 81FE	Char [臾]
ID: 20389	Hex: 4FA5	Char [侥]
ID: 29256	Hex: 7248	Char [版]
ID: 20356	Hex: 4F84	Char [侄]
ID: 23729	Hex: 5CB1	Char [岱]
ID: 20390	Hex: 4FA6	Char [侦]
ID: 20387	Hex: 4FA3	Char [侣]
ID: 20375	Hex: 4F97	Char [侗]
ID: 20355	Hex: 4F83	Char [侃]
ID: 20391	Hex: 4FA7	Char [侧]
ID: 20367	Hex: 4F8F	Char [侏]
ID: 20973	Hex: 51ED	Char [凭]
ID: 20392	Hex: 4FA8	Char [侨]
ID: 20393	Hex: 4FA9	Char [侩]
ID: 20347	Hex: 4F7B	Char [佻]
ID: 20350	Hex: 4F7E	Char [佾]
ID: 20329	Hex: 4F69	Char [佩]
ID: 36135	Hex: 8D27	Char [货]
ID: 20360	Hex: 4F88	Char [侈]
ID: 20394	Hex: 4FAA	Char [侪]
ID: 20348	Hex: 4F7C	Char [佼]
ID: 20381	Hex: 4F9D	Char [依]
ID: 20335	Hex: 4F6F	Char [佯]
ID: 20396	Hex: 4FAC	Char [侬]
ID: 24091	Hex: 5E1B	Char [帛]
ID: 21329	Hex: 5351	Char [卑]
ID: 30340	Hex: 7684	Char [的]
ID: 36843	Hex: 8FEB	Char [迫]
ID: 38428	Hex: 961C	Char [阜]
ID: 20372	Hex: 4F94	Char [侔]
ID: 36136	Hex: 8D28	Char [质]
ID: 27427	Hex: 6B23	Char [欣]
ID: 37064	Hex: 90C8	Char [郈]
ID: 24449	Hex: 5F81	Char [征]
ID: 24450	Hex: 5F82	Char [徂]
ID: 24448	Hex: 5F80	Char [往]
ID: 29228	Hex: 722C	Char [爬]
ID: 24444	Hex: 5F7C	Char [彼]
ID: 24452	Hex: 5F84	Char [径]
ID: 25152	Hex: 6240	Char [所]
ID: 33293	Hex: 820D	Char [舍]
ID: 37329	Hex: 91D1	Char [金]
ID: 21053	Hex: 523D	Char [刽]
ID: 37072	Hex: 90D0	Char [郐]
ID: 21049	Hex: 5239	Char [刹]
ID: 21629	Hex: 547D	Char [命]
ID: 32948	Hex: 80B4	Char [肴]
ID: 37060	Hex: 90C4	Char [郄]
ID: 26023	Hex: 65A7	Char [斧]
ID: 24578	Hex: 6002	Char [怂]
ID: 29240	Hex: 7238	Char [爸]
ID: 37319	Hex: 91C7	Char [采]
ID: 31860	Hex: 7C74	Char [籴]
ID: 35269	Hex: 89C5	Char [觅]
ID: 21463	Hex: 53D7	Char [受]
ID: 20083	Hex: 4E73	Char [乳]
ID: 36138	Hex: 8D2A	Char [贪]
ID: 24565	Hex: 5FF5	Char [念]
ID: 36139	Hex: 8D2B	Char [贫]
ID: 24575	Hex: 5FFF	Char [忿]
ID: 29934	Hex: 74EE	Char [瓮]
ID: 25111	Hex: 6217	Char [戗]
ID: 32956	Hex: 80BC	Char [肼]
ID: 32932	Hex: 80A4	Char [肤]
ID: 26378	Hex: 670A	Char [朊]
ID: 32954	Hex: 80BA	Char [肺]
ID: 32930	Hex: 80A2	Char [肢]
ID: 32957	Hex: 80BD	Char [肽]
ID: 32945	Hex: 80B1	Char [肱]
ID: 32939	Hex: 80AB	Char [肫]
ID: 32959	Hex: 80BF	Char [肿]
ID: 32941	Hex: 80AD	Char [肭]
ID: 32960	Hex: 80C0	Char [胀]
ID: 26379	Hex: 670B	Char [朋]
ID: 32951	Hex: 80B7	Char [肷]
ID: 32929	Hex: 80A1	Char [股]
ID: 32942	Hex: 80AE	Char [肮]
ID: 32938	Hex: 80AA	Char [肪]
ID: 32933	Hex: 80A5	Char [肥]
ID: 26381	Hex: 670D	Char [服]
ID: 32961	Hex: 80C1	Char [胁]
ID: 21608	Hex: 5468	Char [周]
ID: 21057	Hex: 5241	Char [剁]
ID: 26127	Hex: 660F	Char [昏]
ID: 36841	Hex: 8FE9	Char [迩]
ID: 37063	Hex: 90C7	Char [郇]
ID: 40060	Hex: 9C7C	Char [鱼]
ID: 20820	Hex: 5154	Char [兔]
ID: 29385	Hex: 72C9	Char [狉]
ID: 29401	Hex: 72D9	Char [狙]
ID: 29390	Hex: 72CE	Char [狎]
ID: 29392	Hex: 72D0	Char [狐]
ID: 24573	Hex: 5FFD	Char [忽]
ID: 24357	Hex: 5F25	Char [弥]
ID: 29399	Hex: 72D7	Char [狗]
ID: 29389	Hex: 72CD	Char [狍]
ID: 29406	Hex: 72DE	Char [狞]
ID: 29394	Hex: 72D2	Char [狒]
ID: 21646	Hex: 548E	Char [咎]
ID: 22791	Hex: 5907	Char [备]
ID: 28825	Hex: 7099	Char [炙]
ID: 26541	Hex: 67AD	Char [枭]
ID: 39279	Hex: 996F	Char [饯]
ID: 39280	Hex: 9970	Char [饰]
ID: 39281	Hex: 9971	Char [饱]
ID: 39282	Hex: 9972	Char [饲]
ID: 39283	Hex: 9973	Char [饳]
ID: 39284	Hex: 9974	Char [饴]
ID: 20925	Hex: 51BD	Char [冽]
ID: 21464	Hex: 53D8	Char [变]
ID: 20140	Hex: 4EAC	Char [京]
ID: 20139	Hex: 4EAB	Char [享]
ID: 20924	Hex: 51BC	Char [冼]
ID: 24222	Hex: 5E9E	Char [庞]
ID: 24215	Hex: 5E97	Char [店]
ID: 22812	Hex: 591C	Char [夜]
ID: 24217	Hex: 5E99	Char [庙]
ID: 24220	Hex: 5E9C	Char [府]
ID: 24213	Hex: 5E95	Char [底]
ID: 24214	Hex: 5E96	Char [庖]
ID: 30111	Hex: 759F	Char [疟]
ID: 30112	Hex: 75A0	Char [疠]
ID: 30109	Hex: 759D	Char [疝]
ID: 30105	Hex: 7599	Char [疙]
ID: 30106	Hex: 759A	Char [疚]
ID: 30113	Hex: 75A1	Char [疡]
ID: 21058	Hex: 5242	Char [剂]
ID: 21330	Hex: 5352	Char [卒]
ID: 37066	Hex: 90CA	Char [郊]
ID: 20822	Hex: 5156	Char [兖]
ID: 24218	Hex: 5E9A	Char [庚]
ID: 24223	Hex: 5E9F	Char [废]
ID: 20928	Hex: 51C0	Char [净]
ID: 22974	Hex: 59BE	Char [妾]
ID: 30450	Hex: 76F2	Char [盲]
ID: 25918	Hex: 653E	Char [放]
ID: 21051	Hex: 523B	Char [刻]
ID: 26044	Hex: 65BC	Char [於]
ID: 21182	Hex: 52BE	Char [劾]
ID: 32946	Hex: 80B2	Char [育]
ID: 27667	Hex: 6C13	Char [氓]
ID: 38392	Hex: 95F8	Char [闸]
ID: 38393	Hex: 95F9	Char [闹]
ID: 37073	Hex: 90D1	Char [郑]
ID: 21048	Hex: 5238	Char [券]
ID: 21367	Hex: 5377	Char [卷]
ID: 21333	Hex: 5355	Char [单]
ID: 28828	Hex: 709C	Char [炜]
ID: 28844	Hex: 70AC	Char [炬]
ID: 28822	Hex: 7096	Char [炖]
ID: 28818	Hex: 7092	Char [炒]
ID: 28829	Hex: 709D	Char [炝]
ID: 28810	Hex: 708A	Char [炊]
ID: 28821	Hex: 7095	Char [炕]
ID: 28814	Hex: 708E	Char [炎]
ID: 28809	Hex: 7089	Char [炉]
ID: 28820	Hex: 7094	Char [炔]
ID: 27819	Hex: 6CAB	Char [沫]
ID: 27973	Hex: 6D45	Char [浅]
ID: 27861	Hex: 6CD5	Char [法]
ID: 27860	Hex: 6CD4	Char [泔]
ID: 27844	Hex: 6CC4	Char [泄]
ID: 27837	Hex: 6CBD	Char [沽]
ID: 27821	Hex: 6CAD	Char [沭]
ID: 27827	Hex: 6CB3	Char [河]
ID: 27895	Hex: 6CF7	Char [泷]
ID: 27838	Hex: 6CBE	Char [沾]
ID: 27896	Hex: 6CF8	Char [泸]
ID: 27822	Hex: 6CAE	Char [沮]
ID: 27882	Hex: 6CEA	Char [泪]
ID: 27833	Hex: 6CB9	Char [油]
ID: 27889	Hex: 6CF1	Char [泱]
ID: 27845	Hex: 6CC5	Char [泅]
ID: 27863	Hex: 6CD7	Char [泗]
ID: 27850	Hex: 6CCA	Char [泊]
ID: 27872	Hex: 6CE0	Char [泠]
ID: 27868	Hex: 6CDC	Char [泜]
ID: 27898	Hex: 6CFA	Char [泺]
ID: 27843	Hex: 6CC3	Char [泃]
ID: 27839	Hex: 6CBF	Char [沿]
ID: 27862	Hex: 6CD6	Char [泖]
ID: 27873	Hex: 6CE1	Char [泡]
ID: 27880	Hex: 6CE8	Char [注]
ID: 27875	Hex: 6CE3	Char [泣]
ID: 27883	Hex: 6CEB	Char [泫]
ID: 27886	Hex: 6CEE	Char [泮]
ID: 27870	Hex: 6CDE	Char [泞]
ID: 27825	Hex: 6CB1	Char [沱]
ID: 27899	Hex: 6CFB	Char [泻]
ID: 27852	Hex: 6CCC	Char [泌]
ID: 27891	Hex: 6CF3	Char [泳]
ID: 27877	Hex: 6CE5	Char [泥]
ID: 27887	Hex: 6CEF	Char [泯]
ID: 27832	Hex: 6CB8	Char [沸]
ID: 27859	Hex: 6CD3	Char [泓]
ID: 27836	Hex: 6CBC	Char [沼]
ID: 27874	Hex: 6CE2	Char [波]
ID: 27900	Hex: 6CFC	Char [泼]
ID: 27901	Hex: 6CFD	Char [泽]
ID: 27902	Hex: 6CFE	Char [泾]
ID: 27835	Hex: 6CBB	Char [治]
ID: 24596	Hex: 6014	Char [怔]
ID: 24623	Hex: 602F	Char [怯]
ID: 24601	Hex: 6019	Char [怙]
ID: 24629	Hex: 6035	Char [怵]
ID: 24598	Hex: 6016	Char [怖]
ID: 24614	Hex: 6026	Char [怦]
ID: 24603	Hex: 601B	Char [怛]
ID: 24591	Hex: 600F	Char [怏]
ID: 24615	Hex: 6027	Char [性]
ID: 24589	Hex: 600D	Char [怍]
ID: 24597	Hex: 6015	Char [怕]
ID: 24604	Hex: 601C	Char [怜]
ID: 24617	Hex: 6029	Char [怩]
ID: 24619	Hex: 602B	Char [怫]
ID: 24586	Hex: 600A	Char [怊]
ID: 24639	Hex: 603F	Char [怿]
ID: 24618	Hex: 602A	Char [怪]
ID: 24609	Hex: 6021	Char [怡]
ID: 23398	Hex: 5B66	Char [学]
ID: 23453	Hex: 5B9D	Char [宝]
ID: 23447	Hex: 5B97	Char [宗]
ID: 23450	Hex: 5B9A	Char [定]
ID: 23445	Hex: 5B95	Char [宕]
ID: 23456	Hex: 5BA0	Char [宠]
ID: 23452	Hex: 5B9C	Char [宜]
ID: 23457	Hex: 5BA1	Char [审]
ID: 23449	Hex: 5B99	Char [宙]
ID: 23448	Hex: 5B98	Char [官]
ID: 31354	Hex: 7A7A	Char [空]
ID: 24088	Hex: 5E18	Char [帘]
ID: 31352	Hex: 7A78	Char [穸]
ID: 31353	Hex: 7A79	Char [穹]
ID: 23451	Hex: 5B9B	Char [宛]
ID: 23454	Hex: 5B9E	Char [实]
ID: 23443	Hex: 5B93	Char [宓]
